Country,Cases,Deaths,Region
Taiwan,550,7,Asia
Saint Martin,538,8,North America
Comoros,517,7,Africa
Tanzania,509,21,Africa
Faeroe Islands,490,0,Europe
Eritrea,461,0,Africa
Mauritius,435,10,Africa
Isle of Man,348,24,Europe
Mongolia,337,0,Asia
Bhutan,336,0,Asia
Liechtenstein,324,1,Europe
Monaco,295,2,Europe
Cambodia,287,0,Asia
Cayman Islands,239,1,North America
Barbados,226,7,North America
Bermuda,190,9,North America
Seychelles,153,0,Africa
Caribbean Netherlands,150,3,North America
Brunei ,148,3,Asia
Antigua and Barbuda,122,3,North America
Saint Barthelemy,77,0,North America
St. Vincent & Grenadines,73,0,North America
British Virgin Islands,71,1,North America
Saint Lucia,48,0,North America
Macao,46,0,Asia
Dominica,37,0,North America
Fiji,33,2,Australia/Oceania
Timor-Leste,29,0,Asia
Holy See,27,0,Europe
New Caledonia,27,0,Australia/Oceania
Grenada,27,0,North America
Laos,24,0,Asia
Saint Kitts & Nevis,19,0,North America
Greenland,17,0,North America
Saint Pierre & Miquelon,16,0,North America
Montserrat,13,1,North America
Falkland Islands,13,0,South America
Western Sahara,10,1,Africa
MS Zaandam,9,2,
Solomon Islands,4,0,Australia/Oceania
Anguilla,3,0,North America
